Variable Name,Description,Type,Variable Scope,Mode 1 (26:0)
20%,,COLOR,ALL_SCOPES,#F06C00 @20%
black,,COLOR,ALL_SCOPES,#000000
cool/100,,COLOR,ALL_SCOPES,#EBEBEB
cool/200,,COLOR,ALL_SCOPES,#D1D1D1
cool/300,,COLOR,ALL_SCOPES,#B8B8B8
cool/400,,COLOR,ALL_SCOPES,#9E9E9E
cool/50,,COLOR,ALL_SCOPES,#FAFAFA
cool/500,,COLOR,ALL_SCOPES,#858585
cool/600,,COLOR,ALL_SCOPES,#6B6B6B
cool/700,,COLOR,ALL_SCOPES,#525252
cool/800,,COLOR,ALL_SCOPES,#383838
cool/900,,COLOR,ALL_SCOPES,#1E1E1E
cool/950,,COLOR,ALL_SCOPES,#171717
primary/100,,COLOR,ALL_SCOPES,#FFDBBD
primary/200,,COLOR,ALL_SCOPES,#FFBE8A
primary/300,,COLOR,ALL_SCOPES,#FFA257
primary/400,,COLOR,ALL_SCOPES,#FF8624
primary/50,,COLOR,ALL_SCOPES,#FFF7F0
primary/500,,COLOR,ALL_SCOPES,#F06C00
primary/600,,COLOR,ALL_SCOPES,#BD5500
primary/700,,COLOR,ALL_SCOPES,#8A3E00
primary/800,,COLOR,ALL_SCOPES,#572700
primary/900,,COLOR,ALL_SCOPES,#241000
primary/950,,COLOR,ALL_SCOPES,#0A0500
warm/100,,COLOR,ALL_SCOPES,#F7F5F3
warm/200,,COLOR,ALL_SCOPES,#F0EDEA
warm/300,,COLOR,ALL_SCOPES,#E5E0DC
warm/400,,COLOR,ALL_SCOPES,#CEC6C0
warm/50,,COLOR,ALL_SCOPES,#FBFAF9
warm/500,,COLOR,ALL_SCOPES,#AFA49D
warm/600,,COLOR,ALL_SCOPES,#8C7C73
warm/700,,COLOR,ALL_SCOPES,#6D5D55
warm/800,,COLOR,ALL_SCOPES,#4C3F39
warm/900,,COLOR,ALL_SCOPES,#352A27
warm/950,,COLOR,ALL_SCOPES,#241C19
white,,COLOR,ALL_SCOPES,#FFFFFF
